196601,6.19,6.66,7.85,9.32,9.48,4.51,5.4,5.29,5.08,6.62,4.6,2.58,2.75,4.7,6.28,0.63,1.49,5.02,4.27,6.22,-0.37,-0.57,1.71,3.05,3.17
196602,6.44,6.27,1.36,4.74,5.97,5.13,5.28,1.91,-0.1,3.42,-0.04,1.99,4.17,2.63,2.63,2.3,-2.16,0.76,0.49,2.52,-1.33,-2.3,-1.69,-1.97,-1.71
196603,0.32,-0.93,-1.63,-0.9,-1.11,0.41,-1.85,-2.09,-3.58,-1.75,-1.63,-4.75,-2.21,-3.49,-3.76,-0.09,-2.23,-3.5,-2.67,-2.88,-1.5,-3.46,-1.16,-2.16,-5.07
196604,10.06,4.34,6.15,6.77,3.68,3.11,5.19,3.67,7.65,8.59,3.51,4.18,3.17,4.1,2.84,4.02,1.75,3.79,4.65,1.1,2.09,2,1.28,2.4,1.78
196605,-12.34,-12.81,-10.8,-10.59,-11.6,-9.86,-10.11,-8.87,-9.87,-9.04,-5.74,-7.35,-7.88,-10.04,-9.73,-5.1,-5.04,-7.18,-8.61,-10.51,-4.22,-3.94,-4.73,-5.5,-5.47
196606,-0.95,-0.1,0.86,1.69,0.3,1.49,0.36,0.27,-0.67,0.22,-0.31,-0.29,2.51,-0.25,-0.73,-1.07,-1.45,-0.18,3.79,0.84,-1.99,-1.49,-0.66,0.86,-1.22
196607,-1.99,-1.96,-2.44,0.07,-1.04,-3.51,-0.94,-1.11,-1.63,-1.69,-0.97,-1.85,-0.78,-1.09,-1.28,-1,-1.37,-1.91,-2.63,-1.91,-1.69,-1.47,-0.78,1.15,-1.4
196608,-11.66,-10.86,-9.88,-10.78,-10.43,-13.21,-10.24,-9.55,-9.75,-10.91,-10.58,-8.72,-8.12,-9.79,-8.78,-9.36,-7.67,-7.89,-6.91,-10.12,-7.19,-8.28,-5.56,-6.83,-7.81
196609,-1.69,-2.34,-1.59,-1.9,-1.19,-2.02,0.84,-2.19,-1.87,-2.09,-2.26,-4.6,0.27,-0.49,-1.09,-0.93,0.15,-1,-3.21,-0.02,-1.31,0.89,0.33,0.82,-1.79
196610,-7.96,-4.68,-4.57,-0.97,-1.48,-5.63,-0.44,-0.93,0.19,-0.21,-2.05,1.64,3.2,4.81,1.65,0.38,4.97,3.74,3.94,1.48,2.92,5.91,8.87,6.8,6.27
